Status,Date,Platform,Curator,Title,URL
FALSE,2026-08-28,Beatport,Argy,Argy – ÆDEN V.A. Chart Argy,https://www.beatport.com/chart/argy-den-va-chart/900861
FALSE,2026-08-21,Beatport,Fideles,Symbiosis Four - Part Two Fideles,https://www.beatport.com/chart/symbiosis-four-part-two/900252
FALSE,2026-08-21,Beatport,Radio Slave,RADIO SLAVE AUGUST Radio Slave,https://www.beatport.com/chart/radio-slave-august/900321
FALSE,2026-08-19,Beatport,Joris Voorn,Spirit Bird Joris Voorn,https://www.beatport.com/chart/spirit-bird/900065
FALSE,2026-08-11,Beatport,Solomun,Summer 2026 Solomun,https://www.beatport.com/chart/summer-2026/899371
FALSE,2026-07-31,Beatport,Andre Lodemann,Summer 26 Andre Lodemann,https://www.beatport.com/chart/summer-26/898329
FALSE,2026-07-31,Beatport,Fideles,Symbiosis Four - Part One Fideles,https://www.beatport.com/chart/symbiosis-four-part-one/898323
FALSE,2026-07-29,Beatport,Truncate,Obscurity is Infinite Truncate,https://www.beatport.com/chart/obscurity-is-infinite/898085
FALSE,2026-07-27,Beatport,Upercent,Traquetea Chart Upercent,https://www.beatport.com/chart/traquetea-chart/897829
FALSE,2026-07-24,Traxsource,Atjazz,Atjazz - July 2026 on Traxsource,https://www.traxsource.com/title/2844159/atjazz-july-2026
FALSE,2026-07-23,Traxsource,Jimpster,Jimpster Chart for July '26 on Traxsource,https://www.traxsource.com/title/2843068/jimpster-chart-for-july-26
FALSE,2026-07-21,Traxsource,Andre Lodemann,Summer 26,https://www.traxsource.com/title/2840937/summer-26
FALSE,2026-07-10,Beatport,Upercent,Upside Down Chart Upercent,https://www.beatport.com/chart/upside-down-chart/896287
FALSE,2026-07-01,Traxsource,Atjazz,Atjazz - Atjazz August Chart on Traxsource,https://www.traxsource.com/title/240275/atjazz-august-chart
FALSE,2026-06-25,Beatport,Fideles,June 26' Picks : Hey Bro! Fideles,https://www.beatport.com/chart/june-26-picks-hey-bro/894623
FALSE,2026-06-15,Traxsource,Jimpster,Jimpster Chart for June 2026 - Traxsource,https://www.traxsource.com/title/2815575/jimpster-chart-for-june-2026
FALSE,2026-06-11,Beatport,Upercent,Get It Together Chart Upercent,https://www.beatport.com/chart/get-it-together-chart/893312
FALSE,2026-06-03,Beatport,Richy Ahmed,Richy Ahmed Essentials Richy Ahmed,https://www.beatport.com/chart/richy-ahmed-essentials/892548
FALSE,2026-06-01,Volumo,Argy,Argy's Thunderground top 10 by Argy X - Volumo,https://volumo.com/chart/G4O4T4jsNagA-argy-x-argys-thunderground-top-10
FALSE,2026-06-01,Traxsource,Jimpster,Jimpster's Double Dose for August - Traxsource,https://www.traxsource.com/title/1657319/jimpsters-double-dose-for-august
FALSE,2026-06-01,Traxsource,Jimpster,Jimpster - Jimpster Chart for January '26 on Traxsource,https://www.traxsource.com/title/2700284/jimpster-chart-for-january-26
FALSE,2026-05-31,Beatport,AFFKT,Rewind AFFKT,https://www.beatport.com/chart/rewind/892278
FALSE,2026-05-30,Beatport,Fideles,Ascending 2026 Fideles,https://www.beatport.com/chart/ascending-2026/892209
